expected_index,actual_index,side,expected_timestamp_utc,actual_timestamp_utc,expected_exit_timestamp_utc,actual_exit_timestamp_utc,expected_entry_price,actual_entry_price,expected_exit_price,actual_exit_price,expected_pnl_pips,actual_pnl_pips,expected_exit_reason,actual_exit_reason,exit_reason_match,expected_stop_loss_price,actual_stop_loss_price,expected_take_profit_price,actual_take_profit_price,expected_same_bar_collision,actual_same_bar_collision,same_bar_collision_match,expected_collision_resolution,entry_price_delta_pips,exit_price_delta_pips,fill_delta_pips,close_timing_delta_seconds,breach_entry_price,breach_exit_price,breach_fill_delta,breach_close_timing,breach_exit_reason,breach_same_bar_collision,breach_any,likely_cause
107,100,short,2026-01-15T14:38:00Z,2026-01-15T14:38:00Z,2026-01-15T16:44:00Z,2026-01-15T16:44:00Z,1.16084,1.16084,1.16048,1.16049,3.6,3.5,timeout,timeout,True,1.16184,1.16184,1.15884,1.15884,False,False,True,,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
109,102,long,2026-01-20T14:14:00Z,2026-01-20T14:14:00Z,2026-01-20T14:28:00Z,2026-01-20T14:28:40Z,1.17288,1.17289,1.17188,1.17189,-10.0,-10.0,stop_loss,stop_loss,True,1.17188,1.17189,1.17488,1.17489,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
110,103,short,2026-01-20T14:31:00Z,2026-01-20T14:31:00Z,2026-01-20T14:33:00Z,2026-01-20T14:33:40Z,1.17215,1.17215,1.17315,1.17315,-10.0,-10.0,stop_loss,stop_loss,True,1.17315,1.17315,1.17015,1.17015,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
112,105,short,2026-01-20T15:56:00Z,2026-01-20T15:56:00Z,2026-01-20T16:07:00Z,2026-01-20T16:07:40Z,1.17201,1.17201,1.17301,1.17301,-10.0,-10.0,stop_loss,stop_loss,True,1.17301,1.17301,1.17001,1.17001,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
113,106,long,2026-01-21T14:57:00Z,2026-01-21T14:57:00Z,2026-01-21T15:04:00Z,2026-01-21T15:04:40Z,1.17393,1.17394,1.17293,1.17294,-10.0,-10.0,stop_loss,stop_loss,True,1.17293,1.17294,1.17593,1.17594,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
114,107,short,2026-01-21T15:22:00Z,2026-01-21T15:22:00Z,2026-01-21T15:46:00Z,2026-01-21T15:46:40Z,1.17192,1.17192,1.17292,1.17292,-10.0,-10.0,stop_loss,stop_loss,True,1.17292,1.17292,1.16992,1.16992,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
115,108,long,2026-01-22T14:22:00Z,2026-01-22T14:22:00Z,2026-01-22T16:28:00Z,2026-01-22T16:28:00Z,1.17159,1.1716,1.17269,1.17269,11.0,10.9,timeout,timeout,True,1.17059,1.1706,1.17359,1.1736,False,False,True,,0.1,0.0,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
116,109,long,2026-01-26T14:15:00Z,2026-01-26T14:15:00Z,2026-01-26T15:19:00Z,2026-01-26T15:19:40Z,1.18395,1.18395,1.18595,1.18595,20.0,20.0,take_profit,take_profit,True,1.18295,1.18295,1.18595,1.18595,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
117,110,long,2026-01-26T15:26:00Z,2026-01-26T15:26:00Z,2026-01-26T16:37:00Z,2026-01-26T16:37:20Z,1.18663,1.18664,1.18863,1.18864,20.0,20.0,take_profit,take_profit,True,1.18563,1.18564,1.18863,1.18864,False,False,True,,0.1,0.1,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
118,111,long,2026-01-27T13:17:00Z,2026-01-27T13:17:00Z,2026-01-27T13:26:00Z,2026-01-27T13:26:40Z,1.19069,1.1907,1.19269,1.1927,20.0,20.0,take_profit,take_profit,True,1.18969,1.1897,1.19269,1.1927,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
