timestamp_utc,candidate_id,run_id,signal,spread_pips,bars_processed
2026.01.09 08:00:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,100859
2026.01.09 10:31:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,101010
2026.01.09 13:26:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,101185
2026.01.12 08:08:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,102301
2026.01.12 10:39:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,102452
2026.01.12 13:10:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,102603
2026.01.13 08:07:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,103734
2026.01.13 11:01:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,103908
2026.01.13 12:23:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,103990
2026.01.13 13:41:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,104068
2026.01.14 08:00:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,105161
2026.01.14 09:25:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,105246
2026.01.14 10:15:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,105296
2026.01.14 12:50:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,105451
2026.01.14 13:01:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,105462
2026.01.15 08:00:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,106594
2026.01.15 08:26:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,106620
2026.01.15 09:27:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,106681
2026.01.15 12:20:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,106854
2026.01.16 08:01:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,108027
2026.01.16 11:27:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,108233
2026.01.19 08:03:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,109462
2026.01.19 09:08:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,109527
2026.01.19 10:02:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,109581
2026.01.19 10:11:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,109590
2026.01.19 11:25:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,109664
2026.01.19 13:42:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,109801
2026.01.19 13:56:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,109815
2026.01.20 08:08:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,110898
2026.01.20 08:19:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,110909
2026.01.20 09:09:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,110959
2026.01.20 09:54:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,111004
2026.01.20 12:26:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,111156
2026.01.21 08:02:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,112326
2026.01.21 10:34:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,112478
2026.01.21 12:28:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,112592
2026.01.22 08:26:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,113783
2026.01.22 10:58:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,113935
2026.01.22 12:22:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,114019
2026.01.22 12:32:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,114029
2026.01.23 08:00:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,115190
2026.01.23 10:54:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,115364
2026.01.23 13:48:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,115538
2026.01.26 08:00:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,116624
2026.01.26 08:10:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,116634
2026.01.26 08:33:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,116657
2026.01.26 09:37:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,116721
2026.01.26 09:46:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,116730
2026.01.26 09:52:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,116736
2026.01.26 10:11:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,116755
2026.01.26 10:26:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,116770
2026.01.26 12:28:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,116892
2026.01.26 12:43:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,116907
2026.01.26 13:26:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,116950
2026.01.27 08:00:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,118058
2026.01.27 10:32:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,118210
2026.01.27 12:56:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,118354
2026.01.27 13:27:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,118385
2026.01.27 13:29:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,118387
2026.01.27 13:38:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,118396
2026.01.27 13:43:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,118401
2026.01.28 08:01:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,119493
2026.01.28 08:15:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,119507
2026.01.28 08:27:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,119519
2026.01.28 08:54:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,119546
2026.01.28 09:00:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,119552
2026.01.28 09:46:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,119598
2026.01.28 10:34:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,119646
2026.01.28 11:05:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,119677
2026.01.28 11:45:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,119717
2026.01.28 12:05:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,119737
2026.01.29 08:02:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,120924
2026.01.29 08:30:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,120952
2026.01.29 10:50:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,121092
2026.01.29 13:40:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,121262
2026.01.29 13:51:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,121273
2026.01.30 08:07:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,122361
2026.01.30 08:27:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,122381
2026.01.30 10:22:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,122496
2026.01.30 12:09:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,122603
2026.01.30 13:03:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.200000,122657
2026.01.30 13:22:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,122676
2026.01.30 13:46:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,122700
2026.02.02 08:00:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,123786
2026.02.02 09:59:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,123905
2026.02.02 10:03:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,123909
2026.02.02 10:26:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,123932
2026.02.02 13:00:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.200000,124086
2026.02.02 13:13:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,124099
2026.02.03 08:01:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,125221
2026.02.03 08:15:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,125235
2026.02.03 09:07:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,125287
2026.02.03 09:54:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,125334
2026.02.03 10:03:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,125343
2026.02.03 12:03:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,125463
2026.02.03 12:18:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,125478
2026.02.03 12:34:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.200000,125494
2026.02.03 12:49:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,125509
2026.02.03 13:22:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,125542
2026.02.04 08:13:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,126667
2026.02.04 09:12:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,126726
2026.02.04 09:31:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,126745
2026.02.04 12:05:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,126899
2026.02.04 12:17:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,126911
2026.02.04 12:41:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,126935
2026.02.05 08:01:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,128089
