expected_index,actual_index,side,expected_timestamp_utc,actual_timestamp_utc,expected_exit_timestamp_utc,actual_exit_timestamp_utc,expected_entry_price,actual_entry_price,expected_exit_price,actual_exit_price,expected_pnl_pips,actual_pnl_pips,expected_exit_reason,actual_exit_reason,exit_reason_match,expected_stop_loss_price,actual_stop_loss_price,expected_take_profit_price,actual_take_profit_price,expected_same_bar_collision,actual_same_bar_collision,same_bar_collision_match,expected_collision_resolution,baseline_expected_exit_timestamp_utc,baseline_expected_exit_price,baseline_expected_pnl_pips,baseline_expected_exit_reason,baseline_expected_stop_loss_price,baseline_expected_take_profit_price,comparison_basis,boundary_ambiguous_close_timing,boundary_ambiguous_exit_semantics,entry_price_delta_pips,exit_price_delta_pips,fill_delta_pips,close_timing_delta_seconds,breach_entry_price,breach_exit_price,breach_fill_delta,breach_close_timing,breach_exit_reason,breach_same_bar_collision,breach_any,likely_cause
52,53,short,2025-10-10T12:28:00Z,2025-10-10T12:28:00Z,2025-10-10T13:30:00Z,2025-10-10T13:30:20Z,1.15693,1.15693,1.15763,1.15763,-7.0,-7.0,stop_loss,stop_loss,True,1.15763,1.15763,1.15453,1.15453,False,False,True,,2025-10-10T13:30:00Z,1.15763,-7.0,stop_loss,1.15763,1.15453,baseline_executable,False,False,0.0,0.0,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
53,54,short,2025-10-10T13:37:00Z,2025-10-10T13:37:00Z,2025-10-10T15:10:00Z,2025-10-10T15:10:20Z,1.15708,1.15708,1.15778,1.15778,-7.0,-7.0,stop_loss,stop_loss,True,1.15778,1.15778,1.15468,1.15468,False,False,True,,2025-10-10T15:10:00Z,1.15778,-7.0,stop_loss,1.15778,1.15468,baseline_executable,False,False,0.0,0.0,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
54,55,short,2025-10-13T08:01:00Z,2025-10-13T08:01:00Z,2025-10-13T09:32:00Z,2025-10-13T09:32:40Z,1.16116,1.16116,1.15876,1.15876,24.0,24.0,take_profit,take_profit,True,1.16186,1.16186,1.15876,1.15876,False,False,True,,2025-10-13T09:32:00Z,1.15876,24.0,take_profit,1.16186,1.15876,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
55,56,short,2025-10-13T09:33:00Z,2025-10-13T09:33:00Z,2025-10-13T10:05:00Z,2025-10-13T10:05:40Z,1.15879,1.15879,1.15949,1.15949,-7.0,-7.0,stop_loss,stop_loss,True,1.15949,1.15949,1.15639,1.15639,False,False,True,,2025-10-13T10:05:00Z,1.15949,-7.0,stop_loss,1.15949,1.15639,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
56,57,long,2025-10-13T10:06:00Z,2025-10-13T10:06:00Z,2025-10-13T11:17:00Z,2025-10-13T11:17:20Z,1.15945,1.15946,1.15875,1.15876,-7.0,-7.0,stop_loss,stop_loss,True,1.15875,1.15876,1.16185,1.16186,False,False,True,,2025-10-13T11:17:00Z,1.15875,-7.0,stop_loss,1.15875,1.16185,baseline_executable,False,False,0.1,0.1,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
57,58,short,2025-10-13T11:23:00Z,2025-10-13T11:23:00Z,2025-10-13T12:02:00Z,2025-10-13T12:02:40Z,1.15844,1.15844,1.15914,1.15914,-7.0,-7.0,stop_loss,stop_loss,True,1.15914,1.15914,1.15604,1.15604,False,False,True,,2025-10-13T12:02:00Z,1.15914,-7.0,stop_loss,1.15914,1.15604,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
58,59,long,2025-10-13T12:03:00Z,2025-10-13T12:03:00Z,2025-10-13T12:26:00Z,2025-10-13T12:26:40Z,1.15914,1.15915,1.15844,1.15845,-7.0,-7.0,stop_loss,stop_loss,True,1.15844,1.15845,1.16154,1.16155,False,False,True,,2025-10-13T12:26:00Z,1.15844,-7.0,stop_loss,1.15844,1.16154,baseline_executable,False,False,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
59,60,short,2025-10-13T12:27:00Z,2025-10-13T12:27:00Z,2025-10-13T14:57:00Z,2025-10-13T14:57:00Z,1.15844,1.15844,1.15721,1.15722,12.3,12.2,timeout,timeout,True,1.15914,1.15914,1.15604,1.15604,False,False,True,,2025-10-13T14:57:00Z,1.15721,12.3,timeout,1.15914,1.15604,baseline_executable,False,False,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
60,61,long,2025-10-14T08:07:00Z,2025-10-14T08:07:00Z,2025-10-14T08:14:00Z,2025-10-14T08:14:20Z,1.15731,1.15732,1.15661,1.15662,-7.0,-7.0,stop_loss,stop_loss,True,1.15661,1.15662,1.15971,1.15972,False,False,True,,2025-10-14T08:14:00Z,1.15661,-7.0,stop_loss,1.15661,1.15971,baseline_executable,False,False,0.1,0.1,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
61,62,short,2025-10-14T08:18:00Z,2025-10-14T08:18:00Z,2025-10-14T10:48:00Z,2025-10-14T10:48:00Z,1.15659,1.15659,1.15574,1.15575,8.5,8.4,timeout,timeout,True,1.15729,1.15729,1.15419,1.15419,False,False,True,,2025-10-14T10:48:00Z,1.15574,8.5,timeout,1.15729,1.15419,baseline_executable,False,False,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
62,63,short,2025-10-14T10:51:00Z,2025-10-14T10:51:00Z,2025-10-14T13:16:00Z,2025-10-14T13:16:40Z,1.15563,1.15563,1.15633,1.15633,-7.0,-7.0,stop_loss,stop_loss,True,1.15633,1.15633,1.15323,1.15323,False,False,True,,2025-10-14T13:16:00Z,1.15633,-7.0,stop_loss,1.15633,1.15323,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
63,64,long,2025-10-14T13:17:00Z,2025-10-14T13:17:00Z,2025-10-14T13:33:00Z,2025-10-14T13:33:40Z,1.15638,1.15639,1.15568,1.15569,-7.0,-7.0,stop_loss,stop_loss,True,1.15568,1.15569,1.15878,1.15879,False,False,True,,2025-10-14T13:33:00Z,1.15568,-7.0,stop_loss,1.15568,1.15878,baseline_executable,False,False,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
64,65,short,2025-10-14T13:34:00Z,2025-10-14T13:34:00Z,2025-10-14T14:12:00Z,2025-10-14T14:12:40Z,1.15561,1.15561,1.15631,1.15631,-7.0,-7.0,stop_loss,stop_loss,True,1.15631,1.15631,1.15321,1.15321,False,False,True,,2025-10-14T14:12:00Z,1.15631,-7.0,stop_loss,1.15631,1.15321,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
65,66,long,2025-10-15T08:08:00Z,2025-10-15T08:08:00Z,2025-10-15T08:22:00Z,2025-10-15T08:22:40Z,1.16391,1.16392,1.16321,1.16322,-7.0,-7.0,stop_loss,stop_loss,True,1.16321,1.16322,1.16631,1.16632,False,False,True,,2025-10-15T08:22:00Z,1.16321,-7.0,stop_loss,1.16321,1.16631,baseline_executable,False,False,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
66,67,short,2025-10-15T08:23:00Z,2025-10-15T08:23:00Z,2025-10-15T08:38:00Z,2025-10-15T08:38:40Z,1.16322,1.16322,1.16392,1.16392,-7.0,-7.0,stop_loss,stop_loss,True,1.16392,1.16392,1.16082,1.16082,False,False,True,,2025-10-15T08:38:00Z,1.16392,-7.0,stop_loss,1.16392,1.16082,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
67,68,long,2025-10-15T08:39:00Z,2025-10-15T08:39:00Z,2025-10-15T09:56:00Z,2025-10-15T09:56:40Z,1.16389,1.1639,1.16319,1.1632,-7.0,-7.0,stop_loss,stop_loss,True,1.16319,1.1632,1.16629,1.1663,False,False,True,,2025-10-15T09:56:00Z,1.16319,-7.0,stop_loss,1.16319,1.16629,baseline_executable,False,False,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
68,69,short,2025-10-15T09:57:00Z,2025-10-15T09:57:00Z,2025-10-15T10:34:00Z,2025-10-15T10:34:40Z,1.16317,1.16317,1.16387,1.16387,-7.0,-7.0,stop_loss,stop_loss,True,1.16387,1.16387,1.16077,1.16077,False,False,True,,2025-10-15T10:34:00Z,1.16387,-7.0,stop_loss,1.16387,1.16077,baseline_executable,False,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
69,70,long,2025-10-15T10:35:00Z,2025-10-15T10:35:00Z,2025-10-15T10:48:00Z,2025-10-15T10:48:40Z,1.16383,1.16384,1.16313,1.16314,-7.0,-7.0,stop_loss,stop_loss,True,1.16313,1.16314,1.16623,1.16624,False,False,True,,2025-10-15T10:48:00Z,1.16313,-7.0,stop_loss,1.16313,1.16623,baseline_executable,False,False,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
70,71,short,2025-10-15T10:49:00Z,2025-10-15T10:49:00Z,2025-10-15T13:19:00Z,2025-10-15T13:19:00Z,1.16314,1.16314,1.16202,1.16203,11.2,11.1,timeout,timeout,True,1.16384,1.16384,1.16074,1.16074,False,False,True,,2025-10-15T13:19:00Z,1.16202,11.2,timeout,1.16384,1.16074,baseline_executable,False,False,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
71,72,long,2025-10-15T13:27:00Z,2025-10-15T13:27:00Z,2025-10-15T13:50:00Z,2025-10-15T13:50:40Z,1.16262,1.16263,1.16192,1.16193,-7.0,-7.0,stop_loss,stop_loss,True,1.16192,1.16193,1.16502,1.16503,False,False,True,,2025-10-15T13:50:00Z,1.16192,-7.0,stop_loss,1.16192,1.16502,baseline_executable,False,False,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
